Estado,Ano,Area_Agricola_Ha,Area_Mil_Ha
RO,2016,626280.0,626.28
RO,2017,685672.0,685.672
RO,2018,657384.0,657.384
RO,2019,740890.0,740.89
RO,2020,813919.0,813.919
RO,2021,849795.0,849.795
RO,2022,961956.0,961.956
RO,2023,1081561.0,1081.561
RO,2024,1134347.0,1134.347
AC,2016,107294.0,107.294
AC,2017,100543.0,100.543
AC,2018,85330.0,85.33
AC,2019,81903.0,81.903
AC,2020,81580.0,81.58
AC,2021,86542.0,86.542
AC,2022,92287.0,92.287
AC,2023,97469.0,97.469
AC,2024,99296.0,99.296
AM,2016,123625.0,123.625
AM,2017,131242.0,131.242
AM,2018,123073.0,123.073
AM,2019,123121.0,123.121
AM,2020,123071.0,123.071
AM,2021,116071.0,116.071
AM,2022,120030.0,120.03
AM,2023,121758.0,121.758
AM,2024,158047.0,158.047
RR,2016,64121.0,64.121
RR,2017,58398.0,58.398
RR,2018,75980.0,75.98
RR,2019,81597.0,81.597
RR,2020,94052.0,94.052
RR,2021,123274.0,123.274
RR,2022,150608.0,150.608
RR,2023,175947.0,175.947
RR,2024,169365.0,169.365
PA,2016,1567967.0,1567.967
PA,2017,1728939.0,1728.939
PA,2018,1703136.0,1703.136
PA,2019,1820267.0,1820.267
PA,2020,2015845.0,2015.845
PA,2021,2159317.0,2159.317
PA,2022,2313220.0,2313.22
PA,2023,2548193.0,2548.193
PA,2024,2832319.0,2832.319
AP,2016,37651.0,37.651
AP,2017,42260.0,42.26
AP,2018,36828.0,36.828
AP,2019,37334.0,37.334
AP,2020,38679.0,38.679
AP,2021,28338.0,28.338
AP,2022,27260.0,27.26
AP,2023,25889.0,25.889
AP,2024,27434.0,27.434
TO,2016,1232549.0,1232.549
TO,2017,1282545.0,1282.545
TO,2018,1361447.0,1361.447
TO,2019,1427218.0,1427.218
TO,2020,1544996.0,1544.996
TO,2021,1736410.0,1736.41
TO,2022,1885158.0,1885.158
TO,2023,2152343.0,2152.343
TO,2024,2201735.0,2201.735
MA,2016,1597851.0,1597.851
MA,2017,1810133.0,1810.133
MA,2018,1821742.0,1821.742
MA,2019,1722710.0,1722.71
MA,2020,1719056.0,1719.056
MA,2021,1810803.0,1810.803
MA,2022,1921234.0,1921.234
MA,2023,2015448.0,2015.448
MA,2024,2081936.0,2081.936
PI,2016,1491070.0,1491.07
PI,2017,1630546.0,1630.546
PI,2018,1650461.0,1650.461
PI,2019,1638585.0,1638.585
PI,2020,1659140.0,1659.14
PI,2021,1764444.0,1764.444
PI,2022,1887023.0,1887.023
PI,2023,2001442.0,2001.442
PI,2024,1962891.0,1962.891
CE,2016,1438053.0,1438.053
CE,2017,1521932.0,1521.932
CE,2018,1471602.0,1471.602
CE,2019,1372558.0,1372.558
CE,2020,1385916.0,1385.916
CE,2021,1408135.0,1408.135
CE,2022,1441140.0,1441.14
CE,2023,1455450.0,1455.45
CE,2024,1430728.0,1430.728
RN,2016,280160.0,280.16
RN,2017,296147.0,296.147
RN,2018,311030.0,311.03
RN,2019,323868.0,323.868
RN,2020,327500.0,327.5
RN,2021,296355.0,296.355
RN,2022,318033.0,318.033
RN,2023,338543.0,338.543
RN,2024,354642.0,354.642
PB,2016,362119.0,362.119
PB,2017,342576.0,342.576
PB,2018,377166.0,377.166
PB,2019,357769.0,357.769
PB,2020,369192.0,369.192
PB,2021,335845.0,335.845
PB,2022,361010.0,361.01
PB,2023,368101.0,368.101
PB,2024,383407.0,383.407
PE,2016,858635.0,858.635
PE,2017,799091.0,799.091
PE,2018,788874.0,788.874
PE,2019,747128.0,747.128
PE,2020,792490.0,792.49
PE,2021,807500.0,807.5
PE,2022,817089.0,817.089
PE,2023,796509.0,796.509
PE,2024,825506.0,825.506
AL,2016,455548.0,455.548
AL,2017,521140.0,521.14
AL,2018,449703.0,449.703
AL,2019,490459.0,490.459
AL,2020,464077.0,464.077
AL,2021,508836.0,508.836
AL,2022,491705.0,491.705
AL,2023,482001.0,482.001
AL,2024,464710.0,464.71
SE,2016,361499.0,361.499
SE,2017,339822.0,339.822
SE,2018,279276.0,279.276
SE,2019,274263.0,274.263
SE,2020,278043.0,278.043
SE,2021,298468.0,298.468
SE,2022,301529.0,301.529
SE,2023,313278.0,313.278
SE,2024,314628.0,314.628
BA,2016,4574500.0,4574.5
BA,2017,4075524.0,4075.524
BA,2018,4127884.0,4127.884
BA,2019,4122259.0,4122.259
BA,2020,4139407.0,4139.407
BA,2021,4200124.0,4200.124
BA,2022,4377527.0,4377.527
BA,2023,4590303.0,4590.303
BA,2024,4575485.0,4575.485
MG,2016,5534141.0,5534.141
MG,2017,5296173.0,5296.173
MG,2018,5351586.0,5351.586
MG,2019,5627003.0,5627.003
MG,2020,5833639.0,5833.639
MG,2021,5997992.0,5997.992
MG,2022,6265143.0,6265.143
MG,2023,6680134.0,6680.134
MG,2024,6747644.0,6747.644
ES,2016,616289.0,616.289
ES,2017,584314.0,584.314
ES,2018,567298.0,567.298
ES,2019,558348.0,558.348
ES,2020,565189.0,565.189
ES,2021,578997.0,578.997
ES,2022,599842.0,599.842
ES,2023,609649.0,609.649
ES,2024,616948.0,616.948
RJ,2016,123978.0,123.978
RJ,2017,116185.0,116.185
RJ,2018,109610.0,109.61
RJ,2019,113402.0,113.402
RJ,2020,112457.0,112.457
RJ,2021,116056.0,116.056
RJ,2022,113605.0,113.605
RJ,2023,105293.0,105.293
RJ,2024,107514.0,107.514
SP,2016,8631378.0,8631.378
SP,2017,8824386.0,8824.386
SP,2018,8654621.0,8654.621
SP,2019,8871308.0,8871.308
SP,2020,8863353.0,8863.353
SP,2021,8811248.0,8811.248
SP,2022,9074692.0,9074.692
SP,2023,9216795.0,9216.795
SP,2024,9155949.0,9155.949
PR,2016,10732006.0,10732.006
PR,2017,10658069.0,10658.069
PR,2018,10477235.0,10477.235
PR,2019,10671580.0,10671.58
PR,2020,10866307.0,10866.307
PR,2021,11122224.0,11122.224
PR,2022,11547310.0,11547.31
PR,2023,11473566.0,11473.566
PR,2024,11347789.0,11347.789
SC,2016,1577861.0,1577.861
SC,2017,1569090.0,1569.09
SC,2018,1517154.0,1517.154
SC,2019,1509001.0,1509.001
SC,2020,1511365.0,1511.365
SC,2021,1573172.0,1573.172
SC,2022,1671667.0,1671.667
SC,2023,1677831.0,1677.831
SC,2024,1685604.0,1685.604
RS,2016,8934034.0,8934.034
RS,2017,9072148.0,9072.148
RS,2018,9071071.0,9071.071
RS,2019,9220201.0,9220.201
RS,2020,9531819.0,9531.819
RS,2021,9963356.0,9963.356
RS,2022,10567993.0,10567.993
RS,2023,10704734.0,10704.734
RS,2024,10644466.0,10644.466
MS,2016,4945499.0,4945.499
MS,2017,5284089.0,5284.089
MS,2018,5476878.0,5476.878
MS,2019,5794832.0,5794.832
MS,2020,5956921.0,5956.921
MS,2021,6405809.0,6405.809
MS,2022,6974244.0,6974.244
MS,2023,7276597.0,7276.597
MS,2024,7237956.0,7237.956
MT,2016,14551044.0,14551.044
MT,2017,15619823.0,15619.823
MT,2018,15523336.0,15523.336
MT,2019,16640532.0,16640.532
MT,2020,17188641.0,17188.641
MT,2021,17968089.0,17968.089
MT,2022,19166183.0,19166.183
MT,2023,21260667.0,21260.667
MT,2024,21606309.0,21606.309
GO,2016,6345627.0,6345.627
GO,2017,6436529.0,6436.529
GO,2018,6351417.0,6351.417
GO,2019,6676276.0,6676.276
GO,2020,6935757.0,6935.757
GO,2021,7356576.0,7356.576
GO,2022,7680156.0,7680.156
GO,2023,8454190.0,8454.19
GO,2024,8979734.0,8979.734
DF,2016,166489.0,166.489
DF,2017,162894.0,162.894
DF,2018,165073.0,165.073
DF,2019,165445.0,165.445
DF,2020,171565.0,171.565
DF,2021,166865.0,166.865
DF,2022,173955.0,173.955
DF,2023,175965.0,175.965
DF,2024,189732.0,189.732
